"8.210.34.188	2096	2096	TRUE	HKG	Asia Pacific	Hong Kong	60 ms	8932 kB/s"
"8.210.203.7	2096	2096	TRUE	HKG	Asia Pacific	Hong Kong	66 ms	8864 kB/s"
"8.210.156.6	2087	2087	TRUE	HKG	Asia Pacific	Hong Kong	63 ms	8842 kB/s"
"47.242.155.183	2083	2083	TRUE	HKG	Asia Pacific	Hong Kong	66 ms	8840 kB/s"
"8.222.249.190	2053	2053	TRUE	SIN	Asia Pacific	Singapore	222 ms	8827 kB/s"
"47.76.37.57	2087	2087	TRUE	HKG	Asia Pacific	Hong Kong	58 ms	8686 kB/s"
"8.222.244.192	2087	2087	TRUE	SIN	Asia Pacific	Singapore	235 ms	8510 kB/s"
"47.76.49.246	2096	2096	TRUE	HKG	Asia Pacific	Hong Kong	69 ms	8483 kB/s"
"8.222.244.192	2083	2083	TRUE	SIN	Asia Pacific	Singapore	212 ms	8456 kB/s"
"47.243.107.148	2087	2087	TRUE	HKG	Asia Pacific	Hong Kong	59 ms	8272 kB/s"
"47.242.54.157	8443	8443	TRUE	HKG	Asia Pacific	Hong Kong	66 ms	8105 kB/s"
"8.210.100.23	2096	2096	TRUE	HKG	Asia Pacific	Hong Kong	55 ms	8066 kB/s"
"47.242.59.216	8443	8443	TRUE	HKG	Asia Pacific	Hong Kong	62 ms	8024 kB/s"
"47.242.252.237	2096	2096	TRUE	HKG	Asia Pacific	Hong Kong	60 ms	7947 kB/s"
"8.218.143.10	2083	2083	TRUE	HKG	Asia Pacific	Hong Kong	61 ms	7942 kB/s"
"47.243.183.127	2087	2087	TRUE	HKG	Asia Pacific	Hong Kong	61 ms	7830 kB/s"
"8.217.248.220	8443	8443	TRUE	HKG	Asia Pacific	Hong Kong	62 ms	7777 kB/s"
"8.210.119.11	2083	2083	TRUE	HKG	Asia Pacific	Hong Kong	67 ms	7767 kB/s"
"8.219.237.250	2053	2053	TRUE	SIN	Asia Pacific	Singapore	229 ms	7746 kB/s"
"8.219.139.13	8443	8443	TRUE	SIN	Asia Pacific	Singapore	232 ms	7711 kB/s"
"8.210.21.65	2083	2083	TRUE	HKG	Asia Pacific	Hong Kong	63 ms	7710 kB/s"
"8.219.161.129	2087	2087	TRUE	SIN	Asia Pacific	Singapore	220 ms	7671 kB/s"
"8.219.0.162	2053	2053	TRUE	SIN	Asia Pacific	Singapore	225 ms	7609 kB/s"
"8.219.67.133	8443	8443	TRUE	SIN	Asia Pacific	Singapore	221 ms	7564 kB/s"
"8.219.49.65	2087	2087	TRUE	SIN	Asia Pacific	Singapore	218 ms	7477 kB/s"
"47.245.114.163	2083	2083	TRUE	SIN	Asia Pacific	Singapore	224 ms	7362 kB/s"
"47.243.42.219	8443	8443	TRUE	HKG	Asia Pacific	Hong Kong	60 ms	7357 kB/s"
"47.243.203.119	2087	2087	TRUE	HKG	Asia Pacific	Hong Kong	58 ms	7324 kB/s"
"47.245.105.224	2087	2087	TRUE	SIN	Asia Pacific	Singapore	238 ms	7316 kB/s"
"47.242.232.14	2053	2053	TRUE	HKG	Asia Pacific	Hong Kong	66 ms	7291 kB/s"
"8.219.78.188	2096	2096	TRUE	SIN	Asia Pacific	Singapore	225 ms	7256 kB/s"
"8.210.156.6	2083	2083	TRUE	HKG	Asia Pacific	Hong Kong	65 ms	7244 kB/s"
"8.219.222.98	2053	2053	TRUE	SIN	Asia Pacific	Singapore	214 ms	7237 kB/s"
